event_id,event_date,affected_city,disruption_type,severity_level,duration_days,delay_caused_days,estimated_cost_impact_inr,transport_mode_affected,disruption_occurred
EVT00100,2023-06-05,Kanpur,Pandemic,High,18,10,3323808.65,Road+Rail,1
EVT00101,2021-08-07,Ahmedabad,Heatwave,High,13,10,2882810.06,All,1
EVT00102,2023-01-13,Pune,None,Low,1,0,6496.93,All,0
EVT00103,2022-05-27,Lucknow,Flood,Low,18,11,453366.08,Road,1
EVT00104,2023-02-17,Mumbai,Political Unrest,Medium,7,12,3319534.5,Road+Rail,1
EVT00105,2021-12-02,Bhopal,Heatwave,High,21,12,285408.7,All,1
EVT00106,2022-11-28,Delhi,Heavy Snowfall,High,20,5,1863995.51,Rail,1
EVT00107,2024-02-24,Pune,Strike,Low,11,14,3122824.55,Road,1
EVT00108,2022-10-27,Pune,Road Accident,Critical,3,19,4426187.57,Road+Rail,1
EVT00109,2023-07-28,Kanpur,Fuel Shortage,Low,20,15,2510207.22,Rail,1
EVT00110,2021-09-07,Jaipur,Political Unrest,Low,5,16,1360657.97,All,1
EVT00111,2023-02-03,Mumbai,Heatwave,High,1,2,3471680.41,Road+Rail,1
EVT00112,2022-11-20,Hyderabad,Strike,Critical,5,6,4035969.08,Air,1
EVT00113,2021-08-20,Nagpur,Infrastructure Failure,Low,12,5,1112662.15,Road+Rail,1
EVT00114,2022-02-20,Nagpur,Infrastructure Failure,Critical,8,24,2810911.16,Road+Rail,1
EVT00115,2021-03-31,Surat,Heavy Snowfall,Medium,13,14,812153.48,Road+Rail,1
EVT00116,2023-01-28,Jaipur,Political Unrest,Low,19,2,4200230.24,Road,1
EVT00117,2021-08-10,Mumbai,Pandemic,Critical,18,22,4513511.43,Road,1
EVT00118,2021-08-08,Pune,Pandemic,High,8,23,3330427.16,All,1
EVT00119,2023-06-08,Pune,Flood,Critical,12,15,739662.86,Air,1
EVT00120,2021-02-12,Nagpur,Pandemic,Low,6,22,3103937.39,Rail,1
EVT00121,2022-12-27,Kanpur,Fuel Shortage,Critical,4,21,1250378.25,Rail,1
EVT00122,2023-11-19,Hyderabad,Pandemic,High,5,19,3276504.65,Road,1
EVT00123,2021-02-16,Pune,Heavy Snowfall,Critical,10,17,389339.49,Rail,1
EVT00124,2024-02-27,Surat,Political Unrest,Medium,2,9,1670132.74,Air,1
EVT00125,2024-01-12,Lucknow,Cyclone,Low,16,24,4422819.94,Road,1
EVT00126,2021-02-14,Pune,Fuel Shortage,High,16,19,2753592.91,Road+Rail,1
EVT00127,2021-04-19,Delhi,Political Unrest,High,16,5,1303566.56,All,1
EVT00128,2024-03-25,Kolkata,Political Unrest,Medium,3,23,1820035.19,All,1
EVT00129,2023-05-13,Bhopal,Heatwave,Medium,19,16,954349.32,Rail,1
EVT00130,2021-04-15,Bhopal,None,Low,1,0,2491.77,All,0
EVT00131,2022-05-06,Mumbai,Pandemic,Critical,7,11,1446706.88,Road+Rail,1
EVT00132,2023-09-16,Jaipur,Heavy Snowfall,High,21,1,2855436.59,Road,1
EVT00133,2023-09-06,Lucknow,Political Unrest,Medium,15,19,1760121.64,Rail,1
EVT00134,2023-10-05,Kanpur,Flood,High,12,3,994503.97,Road+Rail,1
EVT00135,2023-03-19,Mumbai,Heavy Snowfall,High,8,9,4886744.4,All,1
EVT00136,2022-08-19,Pune,Heatwave,Low,21,15,581663.23,Road+Rail,1
EVT00137,2021-07-02,Chennai,Heatwave,Medium,2,9,958029.95,All,1
EVT00138,2021-11-14,Indore,Infrastructure Failure,Low,7,6,3460449.18,Road,1
EVT00139,2021-09-20,Chennai,Pandemic,High,16,6,1714907.66,Road+Rail,1
EVT00140,2021-12-29,Hyderabad,Heavy Snowfall,High,17,11,1154187.26,Rail,1
EVT00141,2021-10-14,Kolkata,Infrastructure Failure,Low,4,20,524417.01,Road+Rail,1
EVT00142,2024-01-03,Delhi,Heavy Snowfall,High,12,24,4152238.26,All,1
EVT00143,2023-01-02,Lucknow,Political Unrest,Low,5,10,4647574.31,All,1
EVT00144,2023-06-01,Jaipur,Heatwave,Low,2,13,590511.54,Rail,1
EVT00145,2021-08-25,Kolkata,Political Unrest,Critical,15,4,140748.24,Air,1
EVT00146,2022-03-19,Lucknow,Fuel Shortage,Medium,1,10,3607928.68,Road+Rail,1
EVT00147,2022-02-20,Jaipur,Heavy Snowfall,High,5,3,499589.67,Road,1
EVT00148,2021-09-09,Indore,Pandemic,Medium,2,2,2322633.13,Air,1
EVT00149,2023-09-29,Bhopal,Pandemic,Medium,20,7,2372761.78,Rail,1
EVT00150,2022-03-17,Hyderabad,None,Low,1,0,3648.81,Rail,0
EVT00151,2021-11-09,Bangalore,Infrastructure Failure,Critical,1,5,651722.48,All,1
EVT00152,2024-01-01,Hyderabad,Political Unrest,Medium,19,19,1979527.42,Rail,1
EVT00153,2022-04-09,Lucknow,Fuel Shortage,High,16,14,3664993.02,All,1
EVT00154,2023-09-08,Ahmedabad,Flood,Medium,15,18,3134561.07,Road+Rail,1
EVT00155,2022-05-10,Surat,Cyclone,Medium,18,23,3187108.82,Road+Rail,1
EVT00156,2023-09-04,Hyderabad,None,Low,0,0,4479.47,Rail,0
EVT00157,2023-11-19,Pune,Fuel Shortage,High,12,20,2822434.96,Road,1
EVT00158,2022-02-25,Bangalore,Heavy Snowfall,Critical,13,5,3237677.65,Rail,1
EVT00159,2023-12-01,Ahmedabad,Infrastructure Failure,High,8,20,3606499.42,Road+Rail,1
EVT00160,2024-02-24,Pune,Fuel Shortage,Low,3,6,282176.3,Air,1
EVT00161,2023-03-27,Surat,None,Low,0,0,6209.32,Road+Rail,0
EVT00162,2023-05-18,Lucknow,Infrastructure Failure,Critical,3,17,1452109.74,All,1
EVT00163,2024-01-01,Pune,Infrastructure Failure,Medium,5,15,4916956.33,Air,1
EVT00164,2022-07-10,Indore,Flood,High,12,2,1824990.03,All,1
EVT00165,2022-02-01,Bhopal,Political Unrest,High,1,5,1079048.31,All,1
EVT00166,2022-10-28,Bangalore,Heavy Snowfall,High,9,5,2438676.78,All,1
EVT00167,2023-09-14,Lucknow,Flood,Medium,13,17,2634559.81,Road,1
EVT00168,2021-10-20,Delhi,None,Low,0,0,7137.49,Air,0
EVT00169,2024-02-22,Hyderabad,Fuel Shortage,Medium,7,23,3029911.74,Rail,1
EVT00170,2023-01-28,Surat,Pandemic,Critical,12,20,4143095.94,Air,1
EVT00171,2021-09-26,Bhopal,Heavy Snowfall,Critical,7,17,347668.83,Road,1
EVT00172,2021-04-12,Mumbai,Flood,Medium,18,1,4903635.2,Road+Rail,1
EVT00173,2022-07-13,Chennai,Strike,Critical,21,1,3756907.46,All,1
EVT00174,2021-07-03,Kolkata,Flood,Low,5,15,2655755.97,Rail,1
EVT00175,2022-09-14,Kanpur,None,Low,1,0,7527.11,Air,0
EVT00176,2023-02-22,Chennai,Road Accident,Critical,20,2,1964291.42,Road+Rail,1
EVT00177,2023-03-01,Bhopal,Cyclone,Critical,8,17,3166467.43,Road+Rail,1
EVT00178,2022-04-11,Hyderabad,Political Unrest,High,11,16,3856945.78,Road,1
EVT00179,2023-05-02,Surat,Flood,Critical,17,10,316865.4,Road,1
EVT00180,2023-06-25,Chennai,Strike,Critical,19,3,93423.84,Road+Rail,1
EVT00181,2023-05-24,Delhi,Road Accident,High,17,8,2593872.23,Road,1
EVT00182,2022-07-20,Surat,Heavy Snowfall,Low,8,4,3720807.48,Air,1
EVT00183,2021-10-03,Hyderabad,Cyclone,Medium,11,6,1022895.22,Rail,1
EVT00184,2021-03-12,Surat,Fuel Shortage,Low,6,24,3430224.19,Air,1
EVT00185,2022-05-09,Delhi,Infrastructure Failure,Low,1,25,3701676.48,Road,1
EVT00186,2021-07-10,Jaipur,Road Accident,High,2,24,3906582.4,Road+Rail,1
EVT00187,2021-10-15,Bangalore,Cyclone,High,13,16,3634429.23,All,1
EVT00188,2023-01-19,Nagpur,Road Accident,Critical,18,19,4164376.46,Road,1
EVT00189,2023-12-26,Bhopal,Road Accident,Critical,17,11,472580.59,Air,1
EVT00190,2021-11-08,Jaipur,Cyclone,Medium,19,14,444787.57,All,1
EVT00191,2023-11-08,Mumbai,Fuel Shortage,High,19,3,4350970.28,All,1
EVT00192,2024-01-29,Delhi,None,Low,1,0,9944.52,Road,0
EVT00193,2021-02-05,Bhopal,Strike,High,20,19,615060.21,Road+Rail,1
EVT00194,2023-07-07,Nagpur,Flood,Critical,10,8,3756938.41,Air,1
EVT00195,2023-08-27,Kanpur,None,Low,0,0,864.73,Road+Rail,0
EVT00196,2022-03-19,Nagpur,Fuel Shortage,Low,10,1,1848179.02,Air,1
EVT00197,2023-04-22,Kanpur,None,Low,1,0,6413.47,Rail,0
EVT00198,2021-02-03,Bangalore,Road Accident,High,14,25,1557966.09,Rail,1
EVT00199,2023-12-08,Lucknow,Heavy Snowfall,High,5,6,3540125.0,All,1
EVT00200,2022-01-17,Chennai,Political Unrest,Low,21,1,4615958.75,Air,1
EVT00201,2021-11-10,Surat,None,Low,1,0,5320.81,Air,0
EVT00202,2022-04-23,Surat,Road Accident,Low,7,16,3620969.5,All,1
EVT00203,2021-03-18,Ahmedabad,Pandemic,Medium,5,4,1412723.08,Air,1
EVT00204,2023-03-28,Kolkata,Cyclone,Medium,15,23,2619081.49,Air,1
EVT00205,2022-10-19,Kolkata,Infrastructure Failure,Low,11,20,90869.19,All,1
EVT00206,2024-02-10,Hyderabad,Pandemic,High,5,16,4740971.0,Rail,1
EVT00207,2022-07-13,Chennai,Infrastructure Failure,High,19,16,4739699.0,Road+Rail,1
EVT00208,2022-06-27,Nagpur,Flood,Low,13,9,2886596.45,Road+Rail,1
EVT00209,2021-02-20,Indore,Strike,Critical,10,5,1415724.71,Rail,1
EVT00210,2023-07-17,Delhi,Flood,High,3,12,1721653.29,Road,1
EVT00211,2021-04-01,Nagpur,Heavy Snowfall,Low,15,11,2463505.59,Road+Rail,1
EVT00212,2023-11-21,Delhi,Heatwave,Medium,8,21,4113844.25,All,1
EVT00213,2023-07-16,Pune,Heatwave,Medium,13,19,3082286.09,Road,1
EVT00214,2021-06-21,Bhopal,Infrastructure Failure,Critical,8,8,3843183.64,Road+Rail,1
EVT00215,2021-11-21,Kolkata,Heavy Snowfall,Critical,17,2,2199850.64,Road+Rail,1
EVT00216,2021-05-05,Surat,Strike,Medium,4,25,3388007.97,Road+Rail,1
EVT00217,2024-02-16,Lucknow,Fuel Shortage,Critical,17,8,301264.8,Rail,1
EVT00218,2021-10-02,Delhi,Cyclone,Critical,10,11,2879413.24,All,1
EVT00219,2023-04-03,Bhopal,Political Unrest,Low,16,18,231489.81,Road,1
EVT00220,2022-03-17,Ahmedabad,Flood,Low,10,14,4385303.48,Road,1
EVT00221,2021-08-19,Lucknow,Flood,High,17,9,2393998.78,Air,1
EVT00222,2021-05-10,Surat,Strike,Low,8,16,4738361.39,Rail,1
EVT00223,2021-01-23,Indore,Cyclone,Low,2,4,1879542.89,All,1
EVT00224,2023-03-01,Delhi,Fuel Shortage,High,14,23,3798034.15,Road,1
EVT00225,2021-01-20,Bhopal,Pandemic,Critical,9,24,1223607.44,Rail,1
EVT00226,2023-04-04,Delhi,Cyclone,High,6,18,1344765.31,Rail,1
EVT00227,2021-11-01,Kanpur,Political Unrest,High,6,11,2891432.44,Road,1
EVT00228,2023-02-07,Jaipur,Cyclone,High,4,6,256730.2,Air,1
EVT00229,2021-03-03,Ahmedabad,Infrastructure Failure,High,6,13,4962308.8,Road,1
EVT00230,2023-03-25,Hyderabad,Heatwave,High,7,4,659928.28,Rail,1
EVT00231,2021-01-05,Pune,Infrastructure Failure,Medium,15,2,2423875.98,Road,1
EVT00232,2022-06-25,Chennai,Road Accident,High,5,10,910810.39,Rail,1
EVT00233,2022-04-24,Surat,Flood,Low,13,8,4440944.95,Road,1
EVT00234,2022-10-14,Bhopal,Flood,High,15,16,2734982.36,Road+Rail,1
EVT00235,2022-02-06,Kanpur,Political Unrest,High,15,7,3528698.79,Air,1
EVT00236,2023-05-19,Hyderabad,None,Low,0,0,7248.69,Road+Rail,0
EVT00237,2022-10-02,Lucknow,Infrastructure Failure,Medium,11,3,3632783.71,All,1
EVT00238,2021-09-13,Ahmedabad,Pandemic,Medium,15,13,4170431.66,Road,1
EVT00239,2023-05-28,Hyderabad,Road Accident,Medium,15,10,2483073.4,Air,1
EVT00240,2023-07-10,Bangalore,Political Unrest,Low,12,13,1089755.05,Road+Rail,1
EVT00241,2021-03-09,Nagpur,Fuel Shortage,Critical,2,17,3933376.45,All,1
EVT00242,2024-03-24,Mumbai,Political Unrest,Low,18,10,1864728.82,All,1
EVT00243,2023-05-22,Ahmedabad,Fuel Shortage,Medium,13,24,2737780.91,All,1
EVT00244,2022-08-31,Pune,Heavy Snowfall,Low,17,3,3049010.39,Rail,1
EVT00245,2022-08-08,Kanpur,Infrastructure Failure,Medium,3,16,3629685.34,Air,1
EVT00246,2022-10-26,Surat,Flood,Medium,4,20,4640799.39,Rail,1
EVT00247,2023-12-21,Jaipur,Fuel Shortage,Medium,20,7,1850281.32,Road+Rail,1
EVT00248,2023-08-27,Kanpur,Cyclone,Critical,16,22,2673729.16,All,1
EVT00249,2024-02-17,Bhopal,Flood,Low,19,6,4684028.78,Rail,1
EVT00250,2022-02-21,Bangalore,Strike,Medium,4,22,542066.87,Rail,1
EVT00251,2022-11-08,Bangalore,Cyclone,Low,9,9,4415674.78,Air,1
EVT00252,2021-01-01,Bhopal,Pandemic,Medium,3,24,4232587.69,Road,1
EVT00253,2021-12-26,Lucknow,Heavy Snowfall,Critical,13,15,4601208.2,All,1
EVT00254,2022-12-24,Delhi,Heatwave,Low,7,23,3071907.3,Air,1
EVT00255,2022-05-07,Delhi,Flood,Medium,13,7,4588446.85,Rail,1
EVT00256,2024-04-01,Lucknow,Heavy Snowfall,Critical,12,17,2407184.81,All,1
EVT00257,2023-09-18,Ahmedabad,None,Low,1,0,1017.73,Road+Rail,0
EVT00258,2023-05-09,Delhi,Heavy Snowfall,High,20,24,841886.73,Road,1
EVT00259,2021-01-15,Nagpur,Flood,Critical,20,9,224584.24,Road,1
EVT00260,2023-11-15,Nagpur,Strike,Medium,14,5,2064258.68,Road,1
EVT00261,2023-04-19,Indore,Heatwave,Critical,3,6,84766.75,Road,1
EVT00262,2021-06-15,Kanpur,Strike,Critical,9,22,1861913.34,All,1
EVT00263,2023-12-24,Kolkata,Infrastructure Failure,High,15,3,2319325.21,Road,1
EVT00264,2021-08-05,Kanpur,Strike,Low,13,8,303502.67,Road,1
EVT00265,2023-12-24,Lucknow,Heavy Snowfall,Critical,8,13,2438698.01,Road,1
EVT00266,2021-12-26,Hyderabad,Political Unrest,High,12,12,625234.83,Road,1
EVT00267,2022-04-01,Chennai,Road Accident,Medium,14,11,2191264.52,Road,1
EVT00268,2024-01-13,Delhi,Flood,Critical,21,24,4166564.43,Road,1
EVT00269,2022-12-28,Lucknow,Heatwave,High,20,2,3635873.88,Air,1
EVT00270,2022-10-30,Nagpur,Pandemic,High,16,21,636960.82,Rail,1
EVT00271,2022-12-26,Chennai,Strike,Low,2,23,1428920.48,Air,1
EVT00272,2021-09-11,Jaipur,Heavy Snowfall,Medium,18,13,1580647.57,Air,1
EVT00273,2023-06-08,Kanpur,Fuel Shortage,High,18,13,3821319.59,All,1
EVT00274,2023-09-16,Bangalore,None,Low,1,0,7755.65,Road,0
EVT00275,2021-11-04,Jaipur,Pandemic,Low,3,10,2323970.12,Air,1
EVT00276,2023-06-14,Surat,Strike,High,3,12,864568.26,Air,1
EVT00277,2021-03-18,Jaipur,Political Unrest,Medium,10,24,1782688.82,Road+Rail,1
EVT00278,2023-05-21,Chennai,Fuel Shortage,High,10,25,383603.61,Rail,1
EVT00279,2021-05-29,Surat,Political Unrest,Critical,2,16,4733937.62,All,1
EVT00280,2021-06-05,Indore,Fuel Shortage,High,7,23,4774633.94,Rail,1
EVT00281,2023-01-25,Ahmedabad,None,Low,1,0,4423.72,Air,0
EVT00282,2021-01-05,Bangalore,Heavy Snowfall,Critical,13,9,2503969.68,Air,1
EVT00283,2022-03-14,Kolkata,Strike,Critical,16,7,2625666.83,Road+Rail,1
EVT00284,2021-12-31,Ahmedabad,None,Low,1,0,7274.79,Rail,0
EVT00285,2022-02-20,Surat,Pandemic,High,2,3,1600274.62,Road+Rail,1
EVT00286,2021-05-27,Hyderabad,Pandemic,Critical,21,6,4269970.6,Rail,1
EVT00287,2024-02-09,Pune,Cyclone,Low,7,10,2627598.33,Rail,1
EVT00288,2021-02-02,Nagpur,None,Low,0,0,1310.02,Road+Rail,0
EVT00289,2022-05-13,Bangalore,None,Low,0,0,9375.19,Road+Rail,0
EVT00290,2022-01-04,Surat,Pandemic,High,13,12,817305.27,Rail,1
EVT00291,2021-09-20,Chennai,Political Unrest,Medium,5,9,2175336.6,Air,1
EVT00292,2021-11-09,Jaipur,Flood,Medium,14,1,3403446.69,Road+Rail,1
EVT00293,2022-12-14,Indore,Infrastructure Failure,Low,15,7,3811565.34,Road,1
EVT00294,2021-07-21,Mumbai,Heatwave,Low,5,24,1475367.29,Road,1
EVT00295,2022-01-24,Mumbai,Heatwave,Medium,14,5,89499.34,Road+Rail,1
EVT00296,2023-11-26,Hyderabad,Strike,Critical,12,9,3503200.27,All,1
EVT00297,2024-02-25,Hyderabad,Pandemic,High,21,3,839768.19,Road,1
EVT00298,2024-04-10,Delhi,Cyclone,Medium,17,8,2906443.32,Air,1
EVT00299,2023-02-01,Kolkata,Road Accident,Low,8,11,1243209.25,All,1
EVT00300,2023-05-09,Pune,Road Accident,High,1,18,1207854.5,Air,1
EVT00301,2021-01-19,Bangalore,Political Unrest,Critical,21,2,292023.07,Road,1
EVT00302,2023-04-12,Kolkata,None,Low,0,0,6228.65,Road,0
EVT00303,2021-04-09,Surat,Political Unrest,Medium,4,21,3092660.97,All,1
EVT00304,2024-03-11,Bhopal,Cyclone,Critical,2,7,2477112.8,Road,1
EVT00305,2022-01-10,Pune,Heavy Snowfall,Critical,3,5,4786040.77,Road,1
EVT00306,2023-02-26,Delhi,Road Accident,High,2,19,814355.05,All,1
EVT00307,2023-11-27,Lucknow,Fuel Shortage,Medium,21,5,1497363.37,Road,1
EVT00308,2023-10-12,Surat,Strike,Low,11,7,675834.5,Road,1
EVT00309,2022-01-11,Surat,Fuel Shortage,High,3,12,4007284.59,Rail,1
EVT00310,2023-07-31,Pune,Pandemic,High,12,6,4057677.88,Air,1
EVT00311,2022-05-24,Indore,Road Accident,High,6,9,1620809.69,Road+Rail,1
EVT00312,2023-01-02,Hyderabad,Infrastructure Failure,Critical,13,19,906902.7,Rail,1
EVT00313,2024-01-19,Pune,Infrastructure Failure,Low,17,11,4608066.71,Rail,1
EVT00314,2023-11-29,Surat,Fuel Shortage,Medium,17,2,660519.57,Rail,1
EVT00315,2023-05-25,Bangalore,Road Accident,High,18,5,1819722.6,Air,1
EVT00316,2022-04-09,Pune,Strike,Critical,5,8,308602.66,All,1
EVT00317,2023-11-23,Bangalore,Fuel Shortage,Critical,3,17,3343979.23,Road+Rail,1
