order_id,order_date,supplier_name,supplier_city,destination_city,product_category,transport_mode,distance_km,promised_delivery_days,actual_delivery_days,delay_days,shipment_cost_inr,quantity_units,disruption_cause,disruption_label
ORD00019,2021-08-19,Tata Suppliers Pvt Ltd,Kolkata,Surat,Automotive Parts,Air,1102,4,24,20,355381.27,492,Flood,1
ORD00020,2021-08-23,ONGC Supplies,Jaipur,Kolkata,Chemical Compounds,Road,1340,4,9,5,111047.22,1093,None,0
ORD00021,2023-01-11,Reliance Logistics,Nagpur,Pune,Automotive Parts,Road+Rail,979,12,30,18,331196.46,2912,Political Unrest,1
ORD00022,2022-03-10,Steel Authority India,Mumbai,Ahmedabad,Automotive Parts,Road+Rail,1589,9,15,6,128084.89,1568,Flood,1
ORD00023,2022-07-04,Coal India Suppliers,Bangalore,Jaipur,Automotive Parts,Rail,1223,10,9,0,224349.72,4518,None,0
ORD00024,2021-04-11,Larsen & Toubro Supply,Chennai,Ahmedabad,Textiles,Road,2189,3,13,10,433001.95,490,Strike,1
ORD00025,2021-06-18,Bajaj Materials,Bhopal,Nagpur,Raw Materials,Road,2063,9,9,0,349812.79,4562,None,0
ORD00026,2022-11-09,NTPC Materials,Bangalore,Kolkata,Agricultural Goods,Road+Rail,439,14,23,9,35174.0,2579,Road Blockage,1
ORD00027,2021-02-28,BHEL Components,Jaipur,Chennai,Automotive Parts,Road+Rail,432,3,7,4,426414.56,571,None,0
ORD00028,2022-09-02,NTPC Materials,Bhopal,Lucknow,IT Hardware,Rail,1208,4,2,0,24672.12,681,None,0
ORD00029,2022-03-06,Mahindra Parts Ltd,Surat,Nagpur,FMCG,Air,1486,13,22,9,200913.99,2467,Heavy Rainfall,1
ORD00030,2022-04-14,Reliance Logistics,Lucknow,Surat,Agricultural Goods,Road,609,8,25,17,110511.38,2182,Flood,1
ORD00031,2021-05-16,Coal India Suppliers,Bangalore,Chennai,Agricultural Goods,Road,1994,8,22,14,353252.26,4343,Political Unrest,1
ORD00032,2021-01-09,Indian Oil Logistics,Bangalore,Delhi,Agricultural Goods,Air,638,13,20,7,81946.72,2318,Strike,1
ORD00033,2022-09-12,GAIL Vendors,Jaipur,Ahmedabad,Electronics,Air,1228,6,17,11,50687.74,3479,Political Unrest,1
ORD00034,2023-04-30,Infosys Supply Co,Nagpur,Chennai,Chemical Compounds,Road,1272,7,20,13,278081.81,3513,Flood,1
ORD00035,2022-07-29,NTPC Materials,Jaipur,Mumbai,Agricultural Goods,Road,1712,3,10,7,78306.42,1054,Strike,1
ORD00036,2021-02-12,ONGC Supplies,Kolkata,Kanpur,Automotive Parts,Air,1222,7,21,14,180070.92,4596,Flood,1
ORD00037,2023-06-25,GAIL Vendors,Nagpur,Indore,Raw Materials,Rail,925,9,17,8,17269.25,2731,Political Unrest,1
ORD00038,2023-03-13,HCL Vendors,Nagpur,Kanpur,Electronics,Rail,642,9,17,8,430003.66,1832,Heavy Rainfall,1
ORD00039,2021-07-24,HCL Vendors,Kolkata,Mumbai,Industrial Machinery,Air,991,10,20,10,142908.52,578,Heavy Rainfall,1
ORD00040,2023-09-18,Wipro Procurement,Pune,Kanpur,Electronics,Air,2396,15,34,19,62094.17,2149,Accident,1
ORD00041,2021-07-02,Indian Oil Logistics,Lucknow,Pune,Industrial Machinery,Air,1615,12,18,6,221014.97,4199,Flood,1
ORD00042,2021-04-29,BHEL Components,Kanpur,Pune,Agricultural Goods,Rail,206,9,13,4,344994.29,1624,None,0
ORD00043,2022-01-08,Indian Oil Logistics,Surat,Bhopal,FMCG,Road,710,9,22,13,256025.64,3355,Accident,1
ORD00044,2021-12-01,ONGC Supplies,Kolkata,Ahmedabad,Pharmaceuticals,Air,1752,9,8,0,309679.88,2475,None,0
ORD00045,2022-02-20,NTPC Materials,Kolkata,Ahmedabad,Industrial Machinery,Road,2575,11,23,12,235169.15,3632,Heavy Rainfall,1
ORD00046,2022-11-23,NTPC Materials,Bangalore,Lucknow,Industrial Machinery,Road+Rail,2792,6,11,5,51226.66,1934,None,0
ORD00047,2022-11-20,Larsen & Toubro Supply,Mumbai,Delhi,IT Hardware,Rail,1202,7,14,7,425620.16,606,Political Unrest,1
ORD00048,2022-04-12,ONGC Supplies,Pune,Kolkata,Electronics,Rail,804,9,10,1,446866.61,883,None,0
ORD00049,2023-03-09,Mahindra Parts Ltd,Ahmedabad,Mumbai,Automotive Parts,Rail,2483,9,28,19,230948.6,3816,Road Blockage,1
ORD00050,2022-11-15,HCL Vendors,Indore,Kanpur,Agricultural Goods,Air,2267,11,13,2,225727.24,1313,None,0
ORD00051,2023-02-01,Steel Authority India,Indore,Surat,Agricultural Goods,Road+Rail,1335,10,20,10,244875.52,1969,Heavy Rainfall,1
ORD00052,2021-10-09,GAIL Vendors,Bangalore,Pune,Agricultural Goods,Road,1509,10,20,10,44885.94,1245,Heavy Rainfall,1
ORD00053,2021-08-25,BHEL Components,Pune,Ahmedabad,Chemical Compounds,Rail,1555,9,14,5,210808.25,1704,None,0
ORD00054,2023-05-03,HCL Vendors,Mumbai,Bhopal,Chemical Compounds,Road+Rail,2558,9,12,3,7918.56,2891,None,0
ORD00055,2021-11-02,Steel Authority India,Kanpur,Nagpur,IT Hardware,Road+Rail,2436,15,17,2,449416.62,4009,None,0
ORD00056,2021-08-13,Indian Oil Logistics,Pune,Hyderabad,Pharmaceuticals,Road+Rail,1856,7,5,0,421050.3,1055,None,0
ORD00057,2022-09-30,Reliance Logistics,Lucknow,Kanpur,Raw Materials,Road,311,11,13,2,72171.25,3792,None,0
ORD00058,2021-07-06,Wipro Procurement,Kolkata,Jaipur,Raw Materials,Air,1538,3,3,0,142737.02,3463,None,0
ORD00059,2021-09-16,ONGC Supplies,Mumbai,Pune,Automotive Parts,Road+Rail,1118,4,24,20,391710.36,339,Flood,1
ORD00060,2023-02-12,Infosys Supply Co,Lucknow,Chennai,Chemical Compounds,Rail,1177,3,6,3,336382.13,4630,None,0
ORD00061,2023-08-29,Indian Oil Logistics,Chennai,Surat,Automotive Parts,Road+Rail,2687,6,20,14,390006.98,1351,Heavy Rainfall,1
ORD00062,2023-09-15,ONGC Supplies,Bhopal,Bangalore,Raw Materials,Road,2558,7,5,0,201343.95,1634,None,0
ORD00063,2021-03-19,Steel Authority India,Indore,Surat,Automotive Parts,Rail,2659,12,24,12,399132.47,4646,Strike,1
ORD00064,2023-03-13,BHEL Components,Surat,Hyderabad,Industrial Machinery,Air,482,3,4,1,11262.81,3451,None,0
ORD00065,2023-04-23,Indian Oil Logistics,Surat,Bhopal,Pharmaceuticals,Road,2083,10,10,0,220566.14,4284,None,0
ORD00066,2023-09-16,Larsen & Toubro Supply,Bhopal,Jaipur,Raw Materials,Air,2180,13,17,4,413738.63,4863,None,0
ORD00067,2021-10-02,Steel Authority India,Bhopal,Ahmedabad,Chemical Compounds,Rail,1198,8,19,11,287075.57,3114,Strike,1
ORD00068,2021-12-11,Steel Authority India,Ahmedabad,Kolkata,FMCG,Road+Rail,1653,3,11,8,173467.73,4893,Accident,1
ORD00069,2022-12-20,Larsen & Toubro Supply,Delhi,Bangalore,Agricultural Goods,Road,1864,7,6,0,380291.5,3910,None,0
ORD00070,2022-10-24,Mahindra Parts Ltd,Mumbai,Chennai,Raw Materials,Road+Rail,1405,14,18,4,347434.64,2518,None,0
ORD00071,2022-11-11,Indian Oil Logistics,Jaipur,Hyderabad,Agricultural Goods,Air,1942,12,14,2,168741.69,3727,None,0
ORD00072,2021-10-05,Reliance Logistics,Kanpur,Kolkata,Agricultural Goods,Air,1492,7,13,6,475684.39,1526,Political Unrest,1
ORD00073,2021-07-16,Coal India Suppliers,Lucknow,Bangalore,Textiles,Road+Rail,611,6,25,19,151642.0,2966,Heavy Rainfall,1
ORD00074,2021-07-03,BHEL Components,Bangalore,Mumbai,FMCG,Road,423,7,6,0,350221.61,1044,None,0
ORD00075,2022-10-16,Larsen & Toubro Supply,Lucknow,Bangalore,Chemical Compounds,Road+Rail,2122,15,18,3,173649.44,430,None,0
ORD00076,2021-09-16,ONGC Supplies,Ahmedabad,Delhi,Electronics,Road,2563,10,25,15,80104.87,4620,Strike,1
ORD00077,2023-08-30,NTPC Materials,Jaipur,Indore,IT Hardware,Road,1904,7,13,6,396416.71,1858,Political Unrest,1
ORD00078,2023-03-06,HCL Vendors,Bangalore,Bhopal,FMCG,Road+Rail,2610,11,12,1,286471.59,503,None,0
ORD00079,2022-09-17,Infosys Supply Co,Bangalore,Kanpur,Textiles,Road,532,14,23,9,91037.71,624,Political Unrest,1
ORD00080,2021-06-10,Tata Suppliers Pvt Ltd,Lucknow,Ahmedabad,Textiles,Road+Rail,1392,3,6,3,147611.92,2326,None,0
ORD00081,2022-12-21,NTPC Materials,Nagpur,Indore,Textiles,Road,2760,10,21,11,215443.79,4471,Political Unrest,1
ORD00082,2021-08-19,Steel Authority India,Delhi,Mumbai,FMCG,Rail,879,13,20,7,299546.8,4672,Heavy Rainfall,1
ORD00083,2023-08-02,Bajaj Materials,Kanpur,Bangalore,Agricultural Goods,Road+Rail,1848,7,24,17,272290.87,3596,Strike,1
ORD00084,2021-03-24,Tata Suppliers Pvt Ltd,Hyderabad,Surat,Automotive Parts,Road,1225,12,15,3,118317.59,4722,None,0
ORD00085,2022-08-25,Larsen & Toubro Supply,Nagpur,Indore,Agricultural Goods,Air,917,3,1,0,327497.2,2288,None,0
ORD00086,2021-07-05,Wipro Procurement,Ahmedabad,Hyderabad,Industrial Machinery,Road+Rail,1872,12,10,0,336716.09,1327,None,0
ORD00087,2021-12-04,Tata Suppliers Pvt Ltd,Indore,Nagpur,Chemical Compounds,Road+Rail,2453,9,24,15,48589.6,2077,Heavy Rainfall,1
ORD00088,2021-11-28,Larsen & Toubro Supply,Mumbai,Kanpur,Raw Materials,Road+Rail,2422,4,8,4,31831.02,4257,None,0
ORD00089,2022-01-06,BHEL Components,Mumbai,Bangalore,Pharmaceuticals,Road+Rail,1293,12,16,4,464198.02,3599,None,0
ORD00090,2023-06-21,Indian Oil Logistics,Surat,Lucknow,Pharmaceuticals,Road+Rail,1180,14,17,3,158821.32,122,None,0
ORD00091,2022-07-20,Larsen & Toubro Supply,Ahmedabad,Delhi,FMCG,Road,830,9,15,6,256891.65,2249,Political Unrest,1
ORD00092,2022-03-02,Mahindra Parts Ltd,Jaipur,Chennai,IT Hardware,Road+Rail,1771,10,27,17,256579.24,1128,Political Unrest,1
ORD00093,2023-06-04,Bajaj Materials,Bhopal,Nagpur,Electronics,Air,2279,4,4,0,145005.3,2455,None,0
ORD00094,2023-05-08,Wipro Procurement,Jaipur,Ahmedabad,Agricultural Goods,Road+Rail,1613,12,29,17,382621.98,3100,Road Blockage,1
ORD00095,2022-04-12,Tata Suppliers Pvt Ltd,Kolkata,Bhopal,Industrial Machinery,Rail,1882,8,23,15,373629.05,3133,Political Unrest,1
ORD00096,2022-01-31,Wipro Procurement,Chennai,Lucknow,Automotive Parts,Rail,2617,13,11,0,437724.24,3616,None,0
ORD00097,2021-04-13,Reliance Logistics,Pune,Bhopal,Chemical Compounds,Road+Rail,832,11,18,7,391855.02,2181,Flood,1
ORD00098,2021-12-13,HCL Vendors,Indore,Surat,Industrial Machinery,Road+Rail,2385,12,25,13,315265.59,4007,Strike,1
ORD00099,2023-06-13,Mahindra Parts Ltd,Kolkata,Kanpur,Automotive Parts,Road,1377,11,9,0,219815.88,816,None,0
ORD00100,2023-02-18,Tata Suppliers Pvt Ltd,Kanpur,Bangalore,Industrial Machinery,Road,318,13,12,0,399091.02,2413,None,0
ORD00101,2022-01-03,ONGC Supplies,Jaipur,Pune,Pharmaceuticals,Road+Rail,2518,8,18,10,89141.91,656,Road Blockage,1
ORD00102,2022-09-17,ONGC Supplies,Chennai,Bangalore,FMCG,Rail,2088,9,11,2,232487.4,86,None,0
ORD00103,2023-07-10,Wipro Procurement,Chennai,Delhi,IT Hardware,Road+Rail,2009,15,35,20,153081.35,3485,Heavy Rainfall,1
ORD00104,2022-12-08,Reliance Logistics,Pune,Bhopal,Textiles,Road+Rail,2179,7,16,9,193775.33,2950,Heavy Rainfall,1
ORD00105,2022-08-12,Coal India Suppliers,Bangalore,Mumbai,Electronics,Air,2518,7,22,15,455755.39,4079,Flood,1
ORD00106,2023-05-03,NTPC Materials,Hyderabad,Kolkata,FMCG,Rail,978,7,11,4,340493.41,1130,None,0
ORD00107,2022-10-06,Indian Oil Logistics,Mumbai,Surat,Pharmaceuticals,Road,1694,4,21,17,49616.02,2427,Heavy Rainfall,1
ORD00108,2021-12-01,GAIL Vendors,Chennai,Indore,Industrial Machinery,Road+Rail,2409,14,23,9,267771.92,2242,Road Blockage,1
ORD00109,2023-05-01,Steel Authority India,Bangalore,Nagpur,Automotive Parts,Air,1587,5,9,4,236824.04,626,None,0
ORD00110,2021-05-25,Reliance Logistics,Nagpur,Jaipur,Raw Materials,Rail,1698,15,19,4,11889.73,4405,None,0
ORD00111,2021-05-07,Reliance Logistics,Indore,Surat,Textiles,Air,1721,10,25,15,238381.05,4609,Heavy Rainfall,1
ORD00112,2021-12-02,ONGC Supplies,Bhopal,Kanpur,Raw Materials,Rail,1437,12,29,17,62754.59,381,Strike,1
ORD00113,2023-08-27,Infosys Supply Co,Delhi,Bangalore,Raw Materials,Air,2401,3,1,0,229553.66,4435,None,0
ORD00114,2022-03-06,NTPC Materials,Delhi,Bhopal,Raw Materials,Rail,2204,12,15,3,469831.27,2301,None,0
ORD00115,2021-02-03,Reliance Logistics,Ahmedabad,Kolkata,Industrial Machinery,Air,1685,14,31,17,274510.6,2948,Political Unrest,1
ORD00116,2021-03-04,Reliance Logistics,Indore,Bhopal,Textiles,Air,2062,9,15,6,322643.71,4901,Political Unrest,1
ORD00117,2023-09-22,Mahindra Parts Ltd,Chennai,Indore,Automotive Parts,Road,2512,3,13,10,415759.83,4550,Accident,1
ORD00118,2021-08-01,Tata Suppliers Pvt Ltd,Nagpur,Chennai,FMCG,Rail,2641,12,25,13,429911.03,1195,Political Unrest,1
ORD00119,2021-05-14,Infosys Supply Co,Surat,Bhopal,Electronics,Air,305,11,17,6,182329.93,1959,Road Blockage,1
ORD00120,2022-08-26,BHEL Components,Mumbai,Kolkata,Automotive Parts,Road,1924,8,19,11,374104.31,3911,Road Blockage,1
ORD00121,2022-04-05,Mahindra Parts Ltd,Delhi,Jaipur,IT Hardware,Air,2263,15,17,2,26465.69,4281,None,0
ORD00122,2021-11-05,ONGC Supplies,Indore,Pune,Automotive Parts,Road,1946,10,28,18,247683.08,3643,Flood,1
ORD00123,2021-03-17,NTPC Materials,Delhi,Kolkata,IT Hardware,Air,1326,4,3,0,276436.43,2673,None,0
ORD00124,2022-01-26,Steel Authority India,Lucknow,Pune,Automotive Parts,Air,606,12,14,2,427132.4,4526,None,0
ORD00125,2023-01-09,HCL Vendors,Pune,Hyderabad,Raw Materials,Road+Rail,2057,6,5,0,366158.19,2570,None,0
ORD00126,2022-03-14,Reliance Logistics,Surat,Ahmedabad,Automotive Parts,Air,474,8,15,7,51148.9,801,Accident,1
ORD00127,2023-02-02,BHEL Components,Mumbai,Surat,Industrial Machinery,Air,2500,14,34,20,336656.57,3375,Road Blockage,1
ORD00128,2021-12-29,Reliance Logistics,Lucknow,Bangalore,IT Hardware,Road+Rail,1640,13,25,12,256169.21,1277,Flood,1
ORD00129,2022-11-04,Reliance Logistics,Indore,Jaipur,FMCG,Rail,1705,10,24,14,289179.5,3525,Strike,1
ORD00130,2023-05-16,Tata Suppliers Pvt Ltd,Indore,Kanpur,Pharmaceuticals,Road,1295,11,14,3,140268.84,2541,None,0
ORD00131,2023-08-02,ONGC Supplies,Indore,Chennai,Raw Materials,Air,2519,8,16,8,39444.78,261,Flood,1
ORD00132,2021-04-04,Wipro Procurement,Ahmedabad,Hyderabad,FMCG,Rail,844,14,15,1,362190.0,4659,None,0
ORD00133,2022-09-03,ONGC Supplies,Nagpur,Lucknow,Automotive Parts,Road,403,4,12,8,139690.91,3483,Road Blockage,1
ORD00134,2022-05-13,Reliance Logistics,Kolkata,Indore,Industrial Machinery,Road+Rail,2298,12,12,0,217807.25,2330,None,0
ORD00135,2022-11-26,HCL Vendors,Bangalore,Mumbai,IT Hardware,Road+Rail,1103,13,16,3,32117.07,1684,None,0
ORD00136,2021-11-05,Larsen & Toubro Supply,Hyderabad,Delhi,Raw Materials,Rail,231,6,18,12,91968.93,3124,Heavy Rainfall,1
ORD00137,2022-06-30,Reliance Logistics,Indore,Surat,Raw Materials,Rail,1650,14,16,2,431573.36,356,None,0
ORD00138,2022-03-23,HCL Vendors,Lucknow,Pune,Raw Materials,Road+Rail,2548,3,16,13,148310.03,3328,Strike,1
ORD00139,2021-01-22,Reliance Logistics,Indore,Kanpur,Raw Materials,Rail,1682,8,9,1,423019.76,2003,None,0
ORD00140,2022-03-23,Indian Oil Logistics,Pune,Bhopal,Industrial Machinery,Road+Rail,1470,12,10,0,114678.17,1387,None,0
ORD00141,2021-03-20,Wipro Procurement,Kolkata,Indore,Pharmaceuticals,Road,1631,11,13,2,121953.08,1209,None,0
ORD00142,2021-09-20,Infosys Supply Co,Nagpur,Indore,Chemical Compounds,Rail,508,6,5,0,234656.77,4628,None,0
ORD00143,2023-02-18,Coal India Suppliers,Surat,Lucknow,Industrial Machinery,Road+Rail,1523,12,15,3,79723.91,569,None,0
ORD00144,2022-04-26,Bajaj Materials,Hyderabad,Lucknow,Chemical Compounds,Air,503,10,14,4,228697.36,476,None,0
ORD00145,2022-01-13,BHEL Components,Pune,Jaipur,Electronics,Road,2577,7,26,19,227618.18,4693,Strike,1
ORD00146,2022-10-30,Larsen & Toubro Supply,Jaipur,Chennai,Automotive Parts,Air,453,6,7,1,406428.57,2823,None,0
ORD00147,2023-01-02,BHEL Components,Kanpur,Ahmedabad,Agricultural Goods,Rail,1999,4,14,10,306853.68,2991,Flood,1
ORD00148,2022-01-17,Tata Suppliers Pvt Ltd,Hyderabad,Kanpur,Industrial Machinery,Road+Rail,2648,7,11,4,37626.37,784,None,0
ORD00149,2022-07-26,Coal India Suppliers,Kanpur,Bhopal,Pharmaceuticals,Road+Rail,2668,13,24,11,170014.21,4783,Heavy Rainfall,1
ORD00150,2022-11-11,Bajaj Materials,Chennai,Surat,Agricultural Goods,Air,547,5,20,15,191456.26,2700,Heavy Rainfall,1
ORD00151,2023-04-13,Bajaj Materials,Hyderabad,Mumbai,Pharmaceuticals,Road,1685,5,7,2,475828.81,2809,None,0
ORD00152,2023-08-29,Bajaj Materials,Chennai,Kolkata,Automotive Parts,Road+Rail,516,15,25,10,256306.41,4431,Political Unrest,1
ORD00153,2023-05-06,Infosys Supply Co,Lucknow,Pune,Pharmaceuticals,Road,831,14,21,7,416515.8,1366,Accident,1
ORD00154,2023-01-09,Larsen & Toubro Supply,Surat,Nagpur,IT Hardware,Road,1172,10,10,0,146039.33,3687,None,0
ORD00155,2021-08-28,Wipro Procurement,Bhopal,Indore,IT Hardware,Rail,994,11,29,18,492297.7,3792,Heavy Rainfall,1
ORD00156,2023-02-27,Steel Authority India,Pune,Chennai,IT Hardware,Road+Rail,1017,7,9,2,73507.27,2058,None,0
ORD00157,2021-02-23,Coal India Suppliers,Bhopal,Delhi,Automotive Parts,Road+Rail,2313,13,33,20,146106.19,1323,Accident,1
ORD00158,2021-10-07,GAIL Vendors,Bhopal,Kolkata,Industrial Machinery,Rail,2047,10,8,0,465583.6,3408,None,0
ORD00159,2021-02-24,Tata Suppliers Pvt Ltd,Delhi,Pune,Industrial Machinery,Air,1119,9,24,15,465758.82,2756,Political Unrest,1
ORD00160,2023-03-22,Indian Oil Logistics,Bhopal,Indore,Pharmaceuticals,Rail,2135,5,17,12,380626.37,3852,Flood,1
ORD00161,2022-04-05,BHEL Components,Bangalore,Kolkata,IT Hardware,Road,812,12,15,3,266246.9,920,None,0
ORD00162,2023-03-06,ONGC Supplies,Mumbai,Bangalore,IT Hardware,Rail,1919,7,13,6,231271.24,918,Heavy Rainfall,1
ORD00163,2023-05-07,Bajaj Materials,Kolkata,Nagpur,Raw Materials,Road,788,10,12,2,5774.35,2900,None,0
ORD00164,2021-09-04,BHEL Components,Jaipur,Hyderabad,Agricultural Goods,Road+Rail,477,12,17,5,256127.21,4168,None,0
ORD00165,2022-07-22,Bajaj Materials,Surat,Pune,Electronics,Road+Rail,1729,3,1,0,181761.47,563,None,0
ORD00166,2021-12-20,Tata Suppliers Pvt Ltd,Nagpur,Hyderabad,Industrial Machinery,Road,746,6,9,3,275276.8,1444,None,0
ORD00167,2023-05-01,Reliance Logistics,Chennai,Indore,Chemical Compounds,Road+Rail,752,15,18,3,23306.98,1661,None,0
ORD00168,2021-02-14,HCL Vendors,Bhopal,Bangalore,Agricultural Goods,Rail,2311,15,28,13,239332.89,309,Flood,1
ORD00169,2023-02-11,Coal India Suppliers,Indore,Nagpur,Industrial Machinery,Rail,395,13,27,14,140242.22,3024,Heavy Rainfall,1
ORD00170,2022-03-24,Wipro Procurement,Chennai,Jaipur,Agricultural Goods,Road+Rail,2237,9,9,0,137026.74,686,None,0
ORD00171,2023-01-15,Bajaj Materials,Indore,Chennai,Industrial Machinery,Road,2434,9,11,2,55785.96,2696,None,0
ORD00172,2022-11-08,Indian Oil Logistics,Kanpur,Pune,Chemical Compounds,Air,882,7,9,2,179015.76,356,None,0
ORD00173,2023-01-15,Wipro Procurement,Delhi,Kanpur,Agricultural Goods,Road+Rail,1863,8,12,4,401542.51,1320,None,0
ORD00174,2023-09-03,Infosys Supply Co,Nagpur,Ahmedabad,Automotive Parts,Rail,342,3,6,3,121817.71,3010,None,0
ORD00175,2022-01-06,Wipro Procurement,Surat,Ahmedabad,Chemical Compounds,Road,1719,9,8,0,382726.81,4711,None,0
ORD00176,2021-05-21,Reliance Logistics,Surat,Bangalore,Electronics,Air,1222,11,11,0,369159.06,4098,None,0
ORD00177,2022-06-15,NTPC Materials,Kanpur,Ahmedabad,FMCG,Road,1078,9,20,11,348520.42,4033,Heavy Rainfall,1
ORD00178,2021-07-24,Reliance Logistics,Chennai,Nagpur,Industrial Machinery,Rail,2023,4,21,17,335580.7,541,Strike,1
ORD00179,2022-07-18,Steel Authority India,Kanpur,Nagpur,Industrial Machinery,Air,913,11,19,8,256834.09,1004,Heavy Rainfall,1
ORD00180,2021-07-25,NTPC Materials,Mumbai,Pune,Industrial Machinery,Rail,2469,15,33,18,236365.89,4529,Political Unrest,1
ORD00181,2021-05-13,BHEL Components,Pune,Nagpur,Raw Materials,Road,2160,12,24,12,385736.45,4719,Strike,1
ORD00182,2021-03-17,Wipro Procurement,Ahmedabad,Kanpur,Pharmaceuticals,Air,2319,5,22,17,439590.28,4526,Strike,1
ORD00183,2022-10-18,Coal India Suppliers,Jaipur,Bhopal,Automotive Parts,Rail,426,12,28,16,261460.56,2501,Road Blockage,1
ORD00184,2021-06-18,Bajaj Materials,Jaipur,Bangalore,Textiles,Air,523,5,19,14,319353.26,4522,Political Unrest,1
ORD00185,2021-10-09,NTPC Materials,Delhi,Lucknow,IT Hardware,Air,890,5,7,2,81326.16,4967,None,0
ORD00186,2021-12-12,Bajaj Materials,Mumbai,Kanpur,Textiles,Road,2562,12,17,5,384644.71,3422,None,0
ORD00187,2022-09-25,Larsen & Toubro Supply,Jaipur,Bangalore,Textiles,Road,1437,13,16,3,403320.64,3336,None,0
ORD00188,2021-11-01,Larsen & Toubro Supply,Ahmedabad,Pune,Textiles,Road,2183,10,18,8,173395.32,1186,Flood,1
ORD00189,2021-11-17,BHEL Components,Chennai,Indore,Agricultural Goods,Air,1717,14,29,15,57561.05,1990,Accident,1
ORD00190,2022-04-23,Bajaj Materials,Chennai,Delhi,Raw Materials,Air,407,4,3,0,432761.11,3435,None,0
ORD00191,2021-09-12,Larsen & Toubro Supply,Hyderabad,Kolkata,Agricultural Goods,Air,852,5,8,3,236073.48,2537,None,0
ORD00192,2022-05-25,NTPC Materials,Ahmedabad,Kolkata,Industrial Machinery,Road,1081,3,5,2,29085.78,2314,None,0
ORD00193,2022-05-22,HCL Vendors,Mumbai,Bhopal,Pharmaceuticals,Road+Rail,640,12,32,20,441815.59,3006,Heavy Rainfall,1
ORD00194,2023-02-22,Mahindra Parts Ltd,Mumbai,Surat,Industrial Machinery,Air,2501,9,24,15,278845.35,612,Flood,1
ORD00195,2022-01-31,Reliance Logistics,Indore,Lucknow,Pharmaceuticals,Road+Rail,2702,11,11,0,487665.99,3236,None,0
ORD00196,2022-01-18,NTPC Materials,Nagpur,Chennai,Agricultural Goods,Air,1015,15,15,0,203686.61,339,None,0
ORD00197,2021-02-16,NTPC Materials,Jaipur,Ahmedabad,Agricultural Goods,Rail,810,3,21,18,74191.59,2619,Accident,1
ORD00198,2021-06-16,BHEL Components,Jaipur,Bhopal,Chemical Compounds,Air,2287,9,9,0,355826.2,2465,None,0
ORD00199,2022-05-02,Steel Authority India,Pune,Surat,Electronics,Air,1460,3,9,6,300470.26,2185,Accident,1
ORD00200,2023-09-18,Indian Oil Logistics,Chennai,Lucknow,IT Hardware,Rail,2776,13,31,18,388430.03,3124,Flood,1
